at_buy_boolean	at_freq_buy	at_freq_last24_buy	at_freq_last24_sv	at_freq_last24_sv_int_buy	at_freq_sv	at_freq_sv_int_buy	at_interval_buy	at_interval_sv	at_interval_sv_int_buy	expected_time_buy	expected_time_sv	expected_time_sv_int_buy	last_buy	last_sv	last_sv_int_buy	multiple_buy	multiple_sv	multiple_sv_int_buy	uniq_content_links	num_checkins	y_buy
0	0	0	0	0	1	0	0	0	0	0	0	0	0	106	0	0	0	0	169	2130	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	72	0	0	0	0	154	1100	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	4	12	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	150	539	0
0	0	0	0	0	2	0	0	.5	0	0	-101.1493	0	0	101	0	0	1	0	103	362	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	42	0	0	0	0	17	35	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	42	0	0	0	0	42	110	0
0	0	0	0	0	2	0	0	29.79167	0	0	-106.1883	0	0	121	0	0	1	0	101	401	0
0	0	0	0	0	3	0	0	45.47917	0	0	-34.14473	0	0	64	0	0	1	0	100	298	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	53	247	0
1	1	0	0	0	2	2	0	.9583333	.9583333	0	-20.6712	-20.6712	21	21	21	0	1	1	65	175	0
0	0	0	0	0	2	0	0	21.33333	0	0	-108.323	0	0	118	0	0	1	0	163	891	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	151	0	0	0	0	24	198	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	0	0	0	0	16	48	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	81	0	0	0	0	32	177	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	68	0	0	0	0	64	305	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	36	0	0	0	0	76	163	0
0	0	0	0	0	2	0	0	15.95833	0	0	-6.683471	0	0	14	0	0	1	0	101	1105	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	0	0	0	0	30	76	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	70	0	0	0	0	168	1317	0
0	0	0	0	0	2	0	0	27.25	0	0	-124.61	0	0	138	0	0	1	0	172	828	0
0	0	0	0	0	2	0	0	133.125	0	0	50.47409	0	0	16	0	0	1	0	67	396	0
0	0	0	0	0	3	0	0	8.395833	0	0	2.534722	0	0	3	0	0	1	0	146	398	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	-1	26	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	145	0	0	0	0	179	1215	0
0	0	0	0	0	8	0	0	15.99405	0	0	12.56926	0	0	1	0	0	1	0	64	167	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	39	0	0	0	0	165	3883	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	34	0	0	0	0	96	219	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	135	0	0	0	0	143	1011	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	77	0	0	0	0	81	219	0
0	0	0	10	0	3	0	0	.1458333	0	0	.0709847	0	0	0	0	0	1	0	13	113	0
0	0	0	0	0	2	0	0	15.75	0	0	-32.3082	0	0	40	0	0	1	0	95	121	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	152	0	0	0	0	93	435	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	181	0	0	0	0	30	143	0
0	0	0	0	0	2	0	0	34.95833	0	0	-55.56098	0	0	73	0	0	1	0	69	284	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	0	0	0	0	3	21	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	65	0	0	0	0	188	2692	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	72	0	0	0	0	22	95	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	127	0	0	0	0	68	823	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	118	0	0	0	0	69	136	0
